עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
2VIP,סתיו סטרשקו,22,רווקה,רמת גן,נ,36,5,1
2VIP,סטלה עמר,40,נשואה,ארצות הברית,נ,38,5,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
7,דודו כהן,33,רווק,עפולה,ז,113,16,1
7,תמר שילה,30,רווקה,קדומים,נ,32,5,1
7,סלים מרעי,40,רווק,תל אביב,ז,25,4,1
7,עומר קינן,22,רווקה,קדימה-צורן,נ,18,3,1
7,שי חי,32,"גרוש+2, בזוגיות עם תניה",הרצליה,ז,87,13,1
7,קסניה טרנטול,28,רווקה,לוד,נ,109,16,1
7,גיל אלמוג,27,רווק,תל אביב,ז,39,6,1
7,פלורי אלקסלסי,38,רווקה,בית שאן,נ,56,8,1
7,עמרי בן- נתן,29,רווק,שוהם,ז,113,16,1
7,שי-מיקה יפרח,23,רווקה,קצרין,נ,113,16,1
7,ברק אדרי,25,רווק,קיבוץ צרעה,ז,113,16,1
7,"קורין ""קוקו"" אביסדריס",29,רווקה,ירושלים,נ,46,7,1
7,מייקל אלרואי,25,רווק,חדרה,ז,60,9,1
7,גילי כהן,42,נשוי+2,חולון,ז,39,6,1
7,אור סיונוב,35,רווקה,ניו יורק,נ,95,14,1
7,אילנה כספוב,54,נשואה+2,נהריה,נ,11,2,1
7,ארבל קינן,22,רווקה,תל אביב,נ,74,10,4
7,תניה (תני) גרבר,23,בזוגיות עם שי-חי,רמת השרון,נ,87,13,4
7,אסתי לי פז,29,רווקה,נתניה,נ,67,10,8
7,רינת פליישר,45,גרושה+1,ראשון לציון,נ,81,12,8
7,שחר חפץ,35,רווק,גדרה,ז,61,9,8
7,איציק כרסנטי,46,גרוש בשנית+4,חיפה,ז,87,13,8
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
8,שמוליק ספן,58,נשוי+2,גבעתיים,ז,31,5,1
